# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.load.cache.from.file.ms,1742024926435000000,1742024986478000000,256
jps.project.serializers.save.ms,1742024926435000000,1742024986478000000,0
jps.save.global.entities.ms,1742024926435000000,1742024986478000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1742024926435000000,1742024986478000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1742024926435000000,1742024986478000000,3
workspaceModel.mutableEntityStorage.to.snapshot.ms,1742024926435000000,1742024986478000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1742024926435000000,1742024986478000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1742024926435000000,1742024986478000000,310
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1742024926435000000,1742024986478000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1742024926435000000,1742024986478000000,0
jps.save.changed.project.entities.ms,1742024926435000000,1742024986478000000,0
jps.global.handle.before.change.events.ms,1742024926435000000,1742024986478000000,0
workspaceModel.orphan.listener.update.ms,1742024926435000000,1742024986478000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1742024926435000000,1742024986478000000,65
workspaceModel.moduleManagerBridge.create.module.instance.ms,1742024926435000000,1742024986478000000,0
jps.global.get.library.by.name.ms,1742024926435000000,1742024986478000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1742024926435000000,1742024986478000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1742024926435000000,1742024986478000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1742024926435000000,1742024986478000000,20
jps.facet.change.listener.process.change.events.ms,1742024926435000000,1742024986478000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1742024926435000000,1742024986478000000,78
jps.library.entities.serializer.load.entities.ms,1742024926435000000,1742024986478000000,0
jps.project.serializers.load.ms,1742024926435000000,1742024986478000000,24
workspaceModel.mutableEntityStorage.add.diff.ms,1742024926435000000,1742024986478000000,3
workspaceModel.global.apply.state.to.project.ms,1742024926435000000,1742024986478000000,22
jps.global.initialize.library.bridges.after.loading.ms,1742024926435000000,1742024986478000000,0
jps.facet.change.listener.before.change.events.ms,1742024926435000000,1742024986478000000,0
jps.artifact.entities.serializer.save.entities.ms,1742024926435000000,1742024986478000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1742024926435000000,1742024986478000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1742024926435000000,1742024986478000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1742024926435000000,1742024986478000000,3
jps.global.get.library.ms,1742024926435000000,1742024986478000000,0
jps.apply.loaded.storage.ms,1742024926435000000,1742024986478000000,12
JVM.totalCpuTimeMs,1742024926435000000,1742024986478000000,33445
JVM.GC.collectionTimesMs,1742024926435000000,1742024986478000000,128
JVM.maxHeapBytes,1742024926435000000,1742024986478000000,2147483648
JVM.usedNativeBytes,1742024926435000000,1742024986478000000,305882576
JVM.usedHeapBytes,1742024926435000000,1742024986478000000,246383168
JVM.threadCount,1742024926435000000,1742024986478000000,122
JVM.maxNativeBytes,1742024926435000000,1742024986478000000,-1
JVM.totalBytesAllocated,1742024926435000000,1742024986478000000,1694859192
OS.loadAverage,1742024926435000000,1742024986478000000,3.0068359375
JVM.GC.collections,1742024926435000000,1742024986478000000,30
StorageLockContext.competingThreads.avg,1742024926435000000,1742024986478000000,0.0
FilePageCacheLockFree.totalPagesWriteMs,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.totalPagesHandedOver,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1742024926435000000,1742024986478000000,120
FilePageCache.totalPageDisposalsUs,1742024926435000000,1742024986478000000,1219
FilePageCacheLockFree.totalClosedStoragesReclaimed,1742024926435000000,1742024986478000000,0
DirectByteBufferAllocator.hits,1742024926435000000,1742024986478000000,22
